DATE;C;CIRCUIT;DISTRICT;NB_COLIS;PGEO;RUE;NUMEROS_RUE
25/02/2026;546;652;d 2;11;9;rue crebillon;2, 12BIS, 15, 18, 20, 31, 38, 44, 46
25/02/2026;541;652;d 2;16;7;rue diderot;13, 28, 40, 44, 51, 57, 72
25/02/2026;546;653;d 3;4;3;rue charles silvestri;17, 19BIS, 21
25/02/2026;541;653;d 3;1;1;rue de la marseillaise;15
25/02/2026;541;653;d 3;1;1;rue de la liberte;22, 11, 30BIS, 32, 23, 7TER, 13, 30, 30TER, 15, 29, 9BIS, 18, 52, 45
25/02/2026;541;653;d 3;1;1;rue de la jarry;30
25/02/2026;546;681;d 2;3;2;rue dohis;3, 5
25/02/2026;546;681;d 2;24;17;rue des laitieres;5, 7, 8, 9, 10, 13, 16, 17, 22, 27, 31, 46, 47BIS, 49, 52, 56
25/02/2026;546;681;d 2;27;8;rue georges huchon;RC2, 3, 4, 7, 9, 12, 15, 28
25/02/2026;546;681;d 2;11;7;rue de la prevoyance;3, 14, 19, 25, 46, 50, 55
25/02/2026;546;681;d 2;3;2;avenue georges clemenceau;17, 21
25/02/2026;546;681;d 2;1;1;rue eugene blot;3
25/02/2026;546;681;d 2;12;7;rue renon;2, 3, 5BIS, 6, 12, 14, 36
25/02/2026;546;681;d 2;1;1;rue victor basch;30
25/02/2026;546;682;d 3;3;3;rue de lagny;25, 41, 45BIS
25/02/2026;546;682;d 3;7;4;rue fays;14, 21, 28, 30
25/02/2026;546;682;d 3;9;7;rue celine robert;2, 3, 12, 22, 32, 45
25/02/2026;546;682;d 3;2;2;rue charles marinier;1, 3
25/02/2026;546;683;d 4;20;13;rue massue;3, 4, 11, 16, 31, 32, 40, 41, 42, 43, 54, 55, 60
25/02/2026;542;683;d 4;1;1;avenue de la republique;1
25/02/2026;546;683;d 4;1;1;rue de l egalite;7
25/02/2026;546;683;d 4;5;4;rue de colmar;1, 2, 5, 6
25/02/2026;546;683;d 4;13;8;avenue aubert;42, 44, 56, 64, 74, 84, 86BIS, 88
25/02/2026;546;684;d 5;3;2;avenue antoine quinson;2, 4
25/02/2026;546;684;d 5;3;2;villa beausejour;13
25/02/2026;546;684;d 5;1;1;rue du docteur lebel;9
25/02/2026;546;684;d 5;1;1;rue eugenie gerard;6
25/02/2026;546;684;d 5;7;6;rue villebois mareuil;4, 8, 9, 16, 19
25/02/2026;546;684;d 5;5;4;rue de montreuil;2, 3, 5, 22
25/02/2026;544;684;d 5;3;3;rue jean moulin;2TER, 4, 17
25/02/2026;546;684;d 5;2;2;rue d estienne d orves;4
23/02/2026;546;681;d 2;1;1;rue dohis;15
23/02/2026;546;681;d 2;6;6;rue des laitieres;6, 14, 23, 47BIS, 51BIS, 53
23/02/2026;546;681;d 2;7;4;rue georges huchon;RC2, 7, 13, 28
23/02/2026;546;681;d 2;3;3;rue de la prevoyance;31, 47, 59
23/02/2026;546;681;d 2;3;3;avenue georges clemenceau;14, 15, 21
23/02/2026;546;681;d 2;5;4;rue renon;3, 10, 16, 36
23/02/2026;546;681;d 2;1;1;villa saint joseph;4
23/02/2026;546;682;d 3;5;2;rue de lagny;25, 47
23/02/2026;546;682;d 3;1;1;rue fays;24
23/02/2026;546;682;d 3;3;3;rue celine robert;39, 42, 46
23/02/2026;546;683;d 4;5;5;rue massue;1, 20TER, 25, 60
23/02/2026;542;683;d 4;2;2;avenue de la republique;1, 2
23/02/2026;546;683;d 4;2;2;rue de l egalite;12, 14
23/02/2026;546;683;d 4;4;2;rue de colmar;3, 5
23/02/2026;546;683;d 4;6;2;avenue aubert;44, 62, 64BIS, 94
23/02/2026;546;684;d 5;1;1;avenue antoine quinson;6B
23/02/2026;546;684;d 5;2;2;rue du docteur lebel;11, 23
23/02/2026;546;684;d 5;2;2;rue de montreuil;6, 12
24/02/2026;541;651;d 1;1;1;rue de conde sur noireau;2
24/02/2026;541;651;d 1;2;2;avenue de vorges;4, 24
24/02/2026;541;651;d 1;1;1;rue de la liberte;22, 11, 30BIS, 32, 23, 7TER, 13, 30, 30TER, 15, 29, 9BIS, 18, 52, 45
24/02/2026;541;651;d 1;3;2;rue joseph gaillard;6, 18
24/02/2026;541;651;d 1;10;7;rue joseph gaillard;22BIS, 37, 40, 47, 65, 71, 77
24/02/2026;546;652;d 2;1;1;rue charles silvestri;45
24/02/2026;546;652;d 2;3;3;rue leroyer;23, 27, 42BIS
24/02/2026;546;652;d 2;4;3;rue crebillon;15, 28, 46
24/02/2026;541;653;d 3;11;4;rue diderot;19, 28, 40, 44, 45
24/02/2026;546;653;d 3;1;1;rue charles silvestri;38
24/02/2026;541;653;d 3;4;2;villa lamarre;4, 5
26/02/2026;541;651;d 1;3;1;rue de conde sur noireau;2
26/02/2026;541;651;d 1;2;2;avenue de vorges;4, 6
26/02/2026;541;651;d 1;7;5;rue de la liberte;22, 11, 30BIS, 32, 23, 7TER, 13, 30, 30TER, 15, 29, 9BIS, 18, 52, 45
26/02/2026;541;651;d 1;5;3;rue joseph gaillard;6, 14, 18
26/02/2026;541;651;d 1;9;7;rue joseph gaillard;37, 40, 47, 52BIS, 65, 71, 77
26/02/2026;541;652;d 2;1;1;rue de verdun;2
26/02/2026;546;652;d 2;2;2;rue charles silvestri;43, 45
26/02/2026;546;652;d 2;3;3;rue leroyer;15, 23, 42BIS
26/02/2026;546;652;d 2;3;3;rue crebillon;3, 28, 38
26/02/2026;541;653;d 3;12;5;rue diderot;19, 40, 44, 57, 64
26/02/2026;546;653;d 3;4;3;rue charles silvestri;19BIS, 21, 38
26/02/2026;541;653;d 3;4;3;rue de la marseillaise;23, 28, 31
26/02/2026;541;653;d 3;3;2;rue de la jarry;9, 13
27/02/2026;541;651;d 1;3;3;rue de la liberte;22, 11, 30BIS, 32, 23, 7TER, 13, 30, 30TER, 15, 29, 9BIS, 18, 52, 45
27/02/2026;541;651;d 1;4;3;rue joseph gaillard;5, 10, 18
27/02/2026;541;652;d 2;10;7;rue joseph gaillard;40, 46, 52BIS, 55, 65, 71, 77
27/02/2026;546;652;d 2;1;1;rue charles silvestri;43
27/02/2026;546;652;d 2;5;5;rue leroyer;3, 6BIS, 23, 31, 38
27/02/2026;546;652;d 2;1;1;rue de la solidarite;44
27/02/2026;546;652;d 2;5;5;rue crebillon;12, 21, 29, 44, 46
27/02/2026;541;653;d 3;8;4;rue diderot;28, 41, 44, 44, 62
27/02/2026;546;653;d 3;1;1;rue charles silvestri;19BIS
27/02/2026;541;653;d 3;2;2;rue de la marseillaise;15, 22
27/02/2026;541;653;d 3;1;1;rue de la liberte;22, 11, 30BIS, 32, 23, 7TER, 13, 30, 30TER, 15, 29, 9BIS, 18, 52, 45
27/02/2026;541;653;d 3;1;1;villa lamarre;5
28/02/2026;541;651;d 1;1;1;rue de conde sur noireau;2
28/02/2026;541;651;d 1;4;4;rue de la liberte;22, 11, 30BIS, 32, 23, 7TER, 13, 30, 30TER, 15, 29, 9BIS, 18, 52, 45
28/02/2026;541;651;d 1;4;4;rue joseph gaillard;6, 10, 11, 18
28/02/2026;541;651;d 1;4;4;rue joseph gaillard;22BIS, 65, 71, 77
28/02/2026;541;651;d 1;1;1;rue de verdun;4
28/02/2026;546;652;d 2;2;2;rue charles silvestri;43, 45
28/02/2026;546;652;d 2;6;5;rue leroyer;3, 6BIS, 22, 22A, 38
28/02/2026;546;652;d 2;2;2;rue de la solidarite;22, 42
28/02/2026;546;652;d 2;6;6;rue crebillon;8, 15, 25, 26, 38, 46
28/02/2026;541;653;d 3;6;3;rue diderot;40, 44, 68
28/02/2026;546;653;d 3;3;3;rue charles silvestri;4, 16, 27
28/02/2026;541;653;d 3;1;1;rue de la liberte;22, 11, 30BIS, 32, 23, 7TER, 13, 30, 30TER, 15, 29, 9BIS, 18, 52, 45
28/02/2026;541;653;d 3;1;1;villa lamarre;4
28/02/2026;541;654;d 4;4;3;rue du commandant mowat;12, 13, 22
28/02/2026;546;654;d 4;7;6;boulevard de la liberation;49, 51, 53, 89BIS, 94BIS, 106
28/02/2026;541;654;d 4;2;1;rue de la marseillaise;39
28/02/2026;541;654;d 4;8;7;rue de la jarry;40, 77, 95, 101, 162, 174, 188
28/02/2026;541;655;d 5;13;12;rue diderot;100, 102, 133, 135, 178, 198, 199, 205, 210, 214, 231, 257
28/02/2026;545;655;d 5;1;1;rue jules massenet;22
28/02/2026;541;655;d 5;3;2;rue de la renardiere;7, 15BIS
28/02/2026;541;655;d 5;1;1;rue guynemer;5
28/02/2026;541;655;d 5;1;1;rue faie felix;20
27/02/2026;546;681;d 2;3;3;rue dohis;1, 16, 22
27/02/2026;546;681;d 2;19;13;rue des laitieres;8, 10, 14, 18, 23, 25, 26, 27, 29, 31, 45, 47BIS, 56
27/02/2026;546;681;d 2;25;10;rue georges huchon;RC2, 3, 6, 7, 8, 12, 13, 15, 27, 30
27/02/2026;546;681;d 2;10;8;rue de la prevoyance;4, 7, 15, 17, 33, 47, 49, 55
27/02/2026;546;681;d 2;3;3;avenue georges clemenceau;10, 12, 17
27/02/2026;546;681;d 2;2;2;rue eugene blot;1, 3
27/02/2026;546;681;d 2;3;3;rue renon;2, 15, 24
27/02/2026;546;681;d 2;5;5;rue victor basch;4, 10, 30, 33, 36
27/02/2026;546;682;d 3;8;5;rue de lagny;25, 39, 41, 45, 49
27/02/2026;546;682;d 3;4;3;rue fays;7, 28, 30
27/02/2026;546;682;d 3;4;4;rue celine robert;3, 12, 22, 44
27/02/2026;546;682;d 3;1;1;rue charles marinier;1
27/02/2026;546;683;d 4;14;11;rue massue;4, 11, 15, 19, 20BIS, 21, 32, 46, 55, 56, 60
27/02/2026;542;683;d 4;1;1;avenue de la republique;5
27/02/2026;546;683;d 4;2;1;rue de l egalite;8
27/02/2026;546;683;d 4;1;1;rue de colmar;5
27/02/2026;546;683;d 4;20;11;avenue aubert;42, 43, 46, 60, 62, 68, 74, 78, 80, 84, 90
27/02/2026;546;684;d 5;1;1;avenue antoine quinson;2
27/02/2026;546;684;d 5;1;1;rue eugene loeuil;3
27/02/2026;546;684;d 5;7;7;rue villebois mareuil;3, 4, 6, 11, 12, 16, 19
27/02/2026;546;684;d 5;3;2;rue de montreuil;3TER, 26
27/02/2026;544;684;d 5;2;2;rue jean moulin;2TER, 17
27/02/2026;546;684;d 5;2;2;rue d estienne d orves;4, 8
14/10/2025;547;651;d 1;1;1;avenue de nogent;9
14/10/2025;547;651;d 1;1;1;villa d idalie;3
14/10/2025;547;651;d 1;1;1;rue d idalie;6
14/10/2025;547;651;d 1;5;2;avenue foch;4, 23
14/10/2025;547;651;d 1;3;2;avenue fayolle;1, 2
14/10/2025;547;651;d 1;8;6;avenue pierre brossolette;8, 10, 18, 22, 24, 40
14/10/2025;547;659;d 3;1;1;avenue de paris;16
