DATE;C;CIRCUIT;DISTRICT;NB_COLIS;PGEO;RUE;NUMEROS_RUE
15/10/2025;544;673;d 5;4;3;rue saulpic;5, 8, 10
15/10/2025;544;673;d 5;10;8;rue robert giraudineau;1, 2, 3, 18, 21, 22, 25, 36
15/10/2025;546;673;d 5;3;3;rue segond;5, 8, 10
15/10/2025;544;673;d 5;7;5;rue du midi;20, 21, 27, 32, 40
15/10/2025;544;673;d 5;8;5;avenue du chateau;13, 14, 18BIS, 22, 24
15/10/2025;546;681;d 2;2;2;rue dohis;7, 11
15/10/2025;546;681;d 2;17;12;rue des laitieres;3, 10, 16, 22, 23, 25, 27, 31, 36, 53, 56
15/10/2025;546;681;d 2;12;9;rue georges huchon;3, 7, 9, 10, 12, 13, 15, 21, 24
15/10/2025;546;681;d 2;14;11;rue de la prevoyance;2, 3, 13, 17, 20, 22, 24, 32, 54, 59, 61
15/10/2025;546;681;d 2;5;4;avenue georges clemenceau;11, 14, 17, 19
15/10/2025;546;681;d 2;2;1;rue eugene blot;3
15/10/2025;546;681;d 2;7;6;rue renon;1, 1BIS, 2, 3, 5BIS, 36
15/10/2025;546;681;d 2;3;3;rue victor basch;6, 33, 36
15/10/2025;546;682;d 3;10;5;rue de lagny;25, 31, 39, 45BIS, 49
15/10/2025;546;682;d 3;4;2;rue fays;24, 30
15/10/2025;546;682;d 3;12;8;rue celine robert;3, 12, 13, 26, 42, 44, 46
15/10/2025;546;682;d 3;5;2;rue charles marinier;1, 4, 5
15/10/2025;546;683;d 4;19;14;rue massue;1, 4, 5, 11, 18, 19, 21, 26, 29, 31, 35, 41, 54
15/10/2025;542;683;d 4;12;6;avenue de la republique;1, 3, 5, 11, 18, 20
15/10/2025;546;683;d 4;1;1;avenue aubert;60
15/10/2025;546;684;d 5;11;4;avenue antoine quinson;2, 3, 4, 5, 10, 16
15/10/2025;546;684;d 5;1;1;villa beausejour;13
15/10/2025;546;684;d 5;2;2;rue villebois mareuil;18, 19
15/10/2025;546;684;d 5;1;1;rue de montreuil;7
15/10/2025;544;684;d 5;1;1;rue jean moulin;1
15/10/2025;546;684;d 5;1;1;rue d estienne d orves;4
15/10/2025;547;651;d 1;1;1;cours marigny;4
15/10/2025;544;673;d 5;1;1;avenue du chateau;2
15/10/2025;547;697;d 1;1;1;villa d idalie;4
15/10/2025;547;697;d 1;3;2;rue d idalie;3, 7
15/10/2025;547;697;d 1;10;9;avenue foch;4, 21, 23, 27, 37, 39, 41, 49, 55
15/10/2025;547;697;d 1;4;2;avenue fayolle;1, 3
15/10/2025;547;697;d 1;10;7;avenue pierre brossolette;7, 10, 14, 18, 22, 52, 54
15/10/2025;547;697;d 1;6;5;cours marigny;3, 7, 17, 41, 67
15/10/2025;547;693;d 2;28;17;avenue de paris;1BIS, 5, 7, 11, 12, 13, 16, 18, 21, 31, 33, 42, 43, 51, 59, 72, 90, 96
15/10/2025;547;694;d 3;23;15;avenue de paris;102, 112, 114BIS, 116, 122, 124, 128, 140, 144, 152, 162, 164, 166, 168BIS, 170
15/10/2025;547;695;d 4;18;15;rue de fontenay;1, 18, 19, 26, 40, 52, 105, 107, 109, 127, 155, 157, 169, 173, 174, 189, 195, 67, 73, 82, 84, 85, 95, 110, 146, 111, 117, 129, 180, 181, 184, 190, 194, 224, 242, 16, 33, 35, 36, 46, 51, 53, 54, 56, 62, 74, 76, 78, 80, 87, 89, 91, 120, 122
15/10/2025;547;696;d 5;34;23;rue de fontenay;1, 18, 19, 26, 40, 52, 105, 107, 109, 127, 155, 157, 169, 173, 174, 189, 195, 67, 73, 82, 84, 85, 95, 110, 146, 111, 117, 129, 180, 181, 184, 190, 194, 224, 242, 16, 33, 35, 36, 46, 51, 53, 54, 56, 62, 74, 76, 78, 80, 87, 89, 91, 120, 122
15/10/2025;547;696;d 5;7;4;avenue gabriel peri;1, 11, 37, 49
14/10/2025;546;681;d 2;3;2;rue dohis;3, 5
14/10/2025;546;681;d 2;11;9;rue des laitieres;2, 5, 9, 16, 25, 27, 34, 50, 53
14/10/2025;546;681;d 2;9;6;rue georges huchon;7, 11, 13, 17, 21, 24
14/10/2025;546;681;d 2;10;10;rue de la prevoyance;3, 4, 11, 23, 27, 28, 35, 50, 51, 59
14/10/2025;546;681;d 2;2;2;avenue georges clemenceau;17, 19
14/10/2025;546;681;d 2;1;1;rue eugene blot;3
14/10/2025;546;681;d 2;5;3;rue renon;3, 11, 36
14/10/2025;546;681;d 2;6;6;rue victor basch;4, 6, 10, 30, 36, 41
14/10/2025;546;682;d 3;3;3;rue de lagny;5, 25, 29
14/10/2025;546;682;d 3;2;2;rue fays;28, 30
14/10/2025;546;682;d 3;5;4;rue celine robert;3, 12, 30, 46
14/10/2025;546;682;d 3;2;2;rue charles marinier;1, 5
14/10/2025;546;683;d 4;11;10;rue massue;1, 4, 5, 11, 15, 19, 21, 31, 32, 54
14/10/2025;542;683;d 4;3;3;avenue de la republique;1, 11, 18
14/10/2025;546;683;d 4;2;2;rue de l egalite;6, 14
14/10/2025;546;683;d 4;11;10;avenue aubert;44, 56, 60, 62, 76, 78, 86, 92, 94, 106
14/10/2025;546;684;d 5;9;3;avenue antoine quinson;2, 4, 14
14/10/2025;546;684;d 5;2;2;rue du docteur lebel;9, 11
14/10/2025;546;684;d 5;2;2;rue eugenie gerard;3, 6
14/10/2025;546;684;d 5;1;1;rue villebois mareuil;19
14/10/2025;546;684;d 5;6;5;rue de montreuil;6, 7, 11, 16, 20
14/10/2025;544;684;d 5;5;5;rue jean moulin;1, 3, 6, 16, 17
14/10/2025;546;684;d 5;2;1;rue d estienne d orves;4
14/10/2025;547;651;d 1;1;1;rue d idalie;6
14/10/2025;541;651;d 1;1;1;rue de conde sur noireau;4
14/10/2025;541;651;d 1;1;1;avenue de vorges;6
14/10/2025;541;651;d 1;3;3;rue de la liberte;22, 11, 30BIS, 32, 23, 7TER, 13, 30, 30TER, 15, 29, 9BIS, 18, 52, 45
14/10/2025;541;651;d 1;11;4;rue joseph gaillard;11, 12, 14, 17, 18
14/10/2025;541;651;d 1;8;5;rue joseph gaillard;47, 53, 55, 71, 83
14/10/2025;541;652;d 2;2;2;rue charles silvestri;42, 44
14/10/2025;541;652;d 2;4;3;rue leroyer;8, 19, 40
14/10/2025;541;652;d 2;2;2;rue de la solidarite;40, 44
14/10/2025;541;652;d 2;3;3;rue crebillon;8, 12, 17
14/10/2025;541;653;d 3;19;13;rue diderot;11, 13, 28, 39BIS, 40, 44, 45, 48, 53, 56, 59, 60
14/10/2025;541;653;d 3;2;1;rue charles silvestri;38
14/10/2025;541;653;d 3;2;2;rue de la liberte;22, 11, 30BIS, 32, 23, 7TER, 13, 30, 30TER, 15, 29, 9BIS, 18, 52, 45
14/10/2025;541;653;d 3;2;1;villa lamarre;13
14/10/2025;541;654;d 4;16;7;rue du commandant mowat;3, 5, 7, 12, 18, 53, 64
14/10/2025;541;654;d 4;13;7;boulevard de la liberation;41, 49, 78, 88, 94BIS, 96
14/10/2025;541;654;d 4;1;1;rue de la liberte;22, 11, 30BIS, 32, 23, 7TER, 13, 30, 30TER, 15, 29, 9BIS, 18, 52, 45
14/10/2025;541;654;d 4;11;9;rue de la jarry;81, 95, 103, 106, 111, 138, 154, 188, 202
14/10/2025;541;655;d 5;11;10;rue diderot;99, 111, 120, 129, 153, 172, 205, 207, 215, 228
14/10/2025;545;655;d 5;1;1;rue jules massenet;18
14/10/2025;541;655;d 5;10;3;rue de la bienfaisance;45, 46, 51
14/10/2025;541;655;d 5;2;2;rue de la renardiere;4, 16
14/10/2025;541;655;d 5;2;2;rue guynemer;3, 5
14/10/2025;541;655;d 5;2;1;villa faie felix;4
14/10/2025;541;655;d 5;3;3;rue faie felix;6, 9, 12
14/10/2025;548;0;inconnu;1;1;rue raymond du temple;89
14/10/2025;546;683;d 4;1;1;avenue aubert;94
14/10/2025;542;657;d 1;5;2;rue de montreuil;15, 21TER
14/10/2025;546;657;d 1;4;4;avenue aubert;12, 14, 22, 30
14/10/2025;542;657;d 1;13;11;avenue de la republique;30, 33, 35, 45, 48, 50, 57, 78, 92, 107BIS, 128
14/10/2025;542;657;d 1;1;1;rue daumesnil;15
14/10/2025;542;657;d 1;5;4;rue mirabeau;12, 19, 25, 30
14/10/2025;542;657;d 1;5;5;rue de strasbourg;4, 28BIS, 44, 60, 80
14/10/2025;542;658;d 2;1;1;villa david;5
14/10/2025;542;658;d 2;3;2;square daumesnil;1, 4
14/10/2025;542;658;d 2;3;3;rue charles pathe;2, 5, 8
14/10/2025;542;658;d 2;1;1;allee georges pompidou;4, 7, 16
14/10/2025;547;658;d 2;1;1;rue de fontenay;164
14/10/2025;542;658;d 2;2;2;avenue du chateau;49, 51
14/10/2025;542;659;d 3;3;2;rue du midi;9, 11
14/10/2025;548;659;d 3;9;8;rue raymond du temple;2, 3, 7, 12, 17, 54, 64
14/10/2025;548;659;d 3;3;3;rue lejemptel;5, 8, 9
14/10/2025;547;659;d 3;1;1;avenue de paris;16
14/10/2025;542;659;d 3;6;4;avenue du chateau;30, 37, 42, 48
14/10/2025;542;660;d 4;9;9;rue de montreuil;35, 37, 39BIS, 41, 74, 88, 108BIS, 114, 120
14/10/2025;542;660;d 4;3;3;rue de l eglise;4BIS, 20, 24
14/10/2025;542;661;d 5;7;4;rue de la paix;9BIS, 14, 22, 25
14/10/2025;542;661;d 5;4;4;rue de la fraternite;4, 6, 10, 12
14/10/2025;542;661;d 5;2;2;rue monmory;12, 16
14/10/2025;542;661;d 5;4;3;rue des meuniers;3, 5, 17BIS
14/10/2025;544;669;d 1;4;4;avenue du general de gaulle;16, 22, 34, 50
14/10/2025;544;669;d 1;1;1;passage jean bastide;2
14/10/2025;544;669;d 1;1;1;rue du donjon;16
14/10/2025;544;669;d 1;7;5;rue anatole france;8, 17, 25, 28, 30
14/10/2025;544;669;d 1;3;3;rue louis besquel;1, 8, 19
14/10/2025;544;669;d 1;6;3;avenue des minimes;42, 44, 62
14/10/2025;544;670;d 2;8;7;avenue du petit parc;20, 22, 28, 30, 34, 36, 39
14/10/2025;544;670;d 2;3;3;allee jacques daguerre;1, 6, 8
14/10/2025;544;670;d 2;10;5;allee nicephore niepce;3, 4, 6, 7, 11, 15
14/10/2025;544;671;d 3;10;5;avenue du petit parc;7, 8, 10, 11, 13, 18, 19
14/10/2025;544;671;d 3;2;1;allee felix nadar;3
14/10/2025;544;671;d 3;3;3;rue du lieutenant heitz;6, 8, 13
14/10/2025;544;671;d 3;9;7;rue des vignerons;6, 14, 18, 31, 40, 48, 50
14/10/2025;544;672;d 4;9;5;rue jean moulin;25, 28BIS, 30BIS, 36, 49
14/10/2025;544;672;d 4;9;5;avenue franklin roosevelt;8, 20, 30, 36, 38
14/10/2025;544;672;d 4;1;1;rue du marechal maunoury;15
14/10/2025;546;673;d 5;3;3;rue d estienne d orves;25, 29, 31
14/10/2025;546;673;d 5;1;1;avenue lamartine;11
14/10/2025;544;673;d 5;4;3;rue saulpic;1, 5, 8
14/10/2025;544;673;d 5;10;8;rue robert giraudineau;2, 6, 13BIS, 18, 21, 26, 35, 41
14/10/2025;546;673;d 5;5;2;rue segond;3, 4
14/10/2025;544;673;d 5;8;7;rue du midi;20, 21, 25, 26, 28, 33, 35
14/10/2025;544;673;d 5;14;9;avenue du chateau;3, 5, 6, 12, 18BIS, 19, 24, 25, 27
04/03/2026;544;669;d 1;9;7;avenue du general de gaulle;8, 10, 10BIS, 36, 46, 50
04/03/2026;544;669;d 1;2;1;passage jean bastide;2
04/03/2026;544;669;d 1;2;2;rue du donjon;2, 4
04/03/2026;544;669;d 1;14;7;rue anatole france;8, 16, 28, 29, 30, 32, 33
04/03/2026;544;669;d 1;9;6;rue louis besquel;1, 3BIS, 7, 8, 10, 32
04/03/2026;544;669;d 1;12;8;avenue des minimes;8, 30, 38, 44, 62
04/03/2026;544;670;d 2;13;8;avenue du petit parc;20, 22, 25, 26, 27, 28, 38BIS, 40
04/03/2026;544;670;d 2;2;2;cours louis lumiere;10, 12
04/03/2026;544;670;d 2;8;5;allee jacques daguerre;1, 2, 4, 5, 7
04/03/2026;544;670;d 2;7;5;allee nicephore niepce;3, 6, 8, 11, 15
04/03/2026;544;671;d 3;15;9;avenue du petit parc;1, 6, 8, 11, 13, 15, 18, 19
04/03/2026;544;671;d 3;7;4;rue du lieutenant heitz;6, 8, 23, 27
04/03/2026;544;671;d 3;13;8;rue des vignerons;3, 15, 18, 22, 25, 40, 52, 54
04/03/2026;544;672;d 4;9;8;avenue franklin roosevelt;10, 12, 20, 24, 28, 34, 36, 38
04/03/2026;544;672;d 4;1;1;place berault;1
04/03/2026;544;672;d 4;10;4;rue jean moulin;25, 28, 28BIS, 49
04/03/2026;546;673;d 5;5;3;rue segond;1, 3, 4
04/03/2026;546;673;d 5;2;2;rue d estienne d orves;10, 14
04/03/2026;544;673;d 5;1;1;rue robert giraudineau;14
04/03/2026;544;673;d 5;8;7;rue du midi;20, 26, 27, 28, 35
04/03/2026;544;673;d 5;14;9;avenue du chateau;5, 6, 8, 9, 11, 16, 17, 22, 24
03/03/2026;546;681;d 2;1;1;rue dohis;22
03/03/2026;546;681;d 2;13;7;rue des laitieres;10, 20A, 25, 28, 34, 45, 46, 47BIS
03/03/2026;546;681;d 2;15;7;rue georges huchon;RC2, 3, 6, 7, 10, 15, 30
03/03/2026;546;681;d 2;8;7;rue de la prevoyance;2, 3, 17, 23, 33, 35, 49
03/03/2026;546;681;d 2;10;4;avenue georges clemenceau;5, 13, 14, 18
03/03/2026;546;681;d 2;2;2;rue eugene blot;1, 3
03/03/2026;546;681;d 2;2;2;rue renon;3, 24
03/03/2026;546;681;d 2;3;3;rue victor basch;2BIS, 6, 32
03/03/2026;546;682;d 3;5;4;rue de lagny;21, 25, 39, 45
03/03/2026;546;682;d 3;3;3;rue celine robert;3, 12, 46
03/03/2026;546;683;d 4;6;6;rue massue;11, 21, 30, 31, 35, 55
03/03/2026;542;683;d 4;2;2;avenue de la republique;2, 29
03/03/2026;546;683;d 4;1;1;rue de l egalite;9
03/03/2026;546;683;d 4;1;1;rue de colmar;5
03/03/2026;546;683;d 4;4;3;avenue aubert;42, 60, 79
03/03/2026;546;684;d 5;1;1;avenue antoine quinson;2
03/03/2026;546;684;d 5;3;2;rue eugene loeuil;3, 4
03/03/2026;546;684;d 5;1;1;rue du docteur lebel;17
03/03/2026;546;684;d 5;1;1;rue eugenie gerard;3
03/03/2026;546;684;d 5;4;3;rue villebois mareuil;9, 18, 19
03/03/2026;546;684;d 5;1;1;rue de montreuil;6
03/03/2026;544;684;d 5;5;4;rue jean moulin;2, 2TER, 3, 17
07/03/2026;544;669;d 1;1;1;avenue du general de gaulle;10BIS
07/03/2026;544;671;d 3;5;4;rue du lieutenant heitz;2, 6, 11, 13
07/03/2026;544;671;d 3;10;9;rue des vignerons;1, 3, 5, 6, 15, 30, 33, 43, 52
07/03/2026;544;672;d 4;3;3;avenue franklin roosevelt;20, 34, 38
07/03/2026;544;672;d 4;1;1;place berault;8
07/03/2026;544;672;d 4;4;2;rue jean moulin;28BIS, 49
07/03/2026;546;673;d 5;1;1;rue segond;3
07/03/2026;546;673;d 5;3;2;rue d estienne d orves;10, 29
07/03/2026;546;673;d 5;2;1;avenue lamartine;11
07/03/2026;544;673;d 5;7;6;rue robert giraudineau;2, 11, 14, 31, 35, 36
07/03/2026;544;673;d 5;2;2;rue saulpic;5, 11
07/03/2026;544;673;d 5;9;7;rue du midi;19, 20, 21, 22, 26, 28, 32
07/03/2026;544;673;d 5;11;8;avenue du chateau;1, 2, 6, 12, 17, 20, 22, 24
06/03/2026;547;694;d 3;1;1;avenue de paris;RC150
06/03/2026;546;681;d 2;4;4;rue dohis;9, 10, 12, 16
06/03/2026;546;681;d 2;20;13;rue des laitieres;3, 5, 9, 10, 13, 16, 25, 27, 31, 41, 47BIS, 56, 58
06/03/2026;546;681;d 2;26;10;rue georges huchon;RC2, 7, 8, 9, 12, 13, 15, 24, 28, 30
06/03/2026;546;681;d 2;7;7;rue de la prevoyance;3, 12, 19, 22, 28, 40, 47
06/03/2026;546;681;d 2;9;5;avenue georges clemenceau;5, 13, 14, 17, 19
06/03/2026;546;681;d 2;2;2;rue renon;3, 6
06/03/2026;546;681;d 2;4;4;rue victor basch;2BIS, 4, 14, 33
06/03/2026;546;682;d 3;7;6;rue de lagny;25, 29, 39, 45, 45BIS, 49
06/03/2026;546;682;d 3;4;3;rue fays;14, 24, 28
06/03/2026;546;682;d 3;7;3;rue celine robert;3, 22, 26
06/03/2026;546;682;d 3;1;1;rue charles marinier;4
06/03/2026;546;683;d 4;12;11;rue massue;8, 11, 19, 21, 25, 26, 29, 30, 31, 45, 54
06/03/2026;542;683;d 4;5;4;avenue de la republique;5, 7, 11, 18
06/03/2026;546;683;d 4;1;1;rue de l egalite;4
06/03/2026;546;683;d 4;1;1;rue de colmar;4
06/03/2026;546;683;d 4;15;9;avenue aubert;44, 56, 60, 62, 64BIS, 74, 78, 92, 94
06/03/2026;546;684;d 5;6;4;avenue antoine quinson;2, 4, 10, 12
06/03/2026;546;684;d 5;1;1;rue eugene loeuil;13
06/03/2026;546;684;d 5;2;1;rue eugenie gerard;5
06/03/2026;546;684;d 5;8;7;rue villebois mareuil;3, 5, 9, 14, 18, 19
06/03/2026;546;684;d 5;6;5;rue de montreuil;22, 26, 30, 32
06/03/2026;544;684;d 5;3;2;rue jean moulin;2TER, 3
06/03/2026;546;684;d 5;2;2;rue d estienne d orves;4, 8
15/10/2025;541;655;d 5;27;20;rue diderot;75, 79, 95, 99, 100, 102, 120, 159, 162, 176, 187, 188, 207, 210, 216, 217, RC215, 225, 231, 275
15/10/2025;541;655;d 5;1;1;rue de la bienfaisance;45
15/10/2025;541;655;d 5;2;2;villa faie felix;3, 4
15/10/2025;541;655;d 5;3;2;rue faie felix;1, 18
15/10/2025;542;658;d 2;5;2;allee georges pompidou;16, 18
15/10/2025;542;660;d 4;17;12;rue de montreuil;31BIS, 35, 37, 78, RC82, 92, 98BIS, 108, 108BIS, 112, 118, 138
15/10/2025;542;661;d 5;16;12;rue de la paix;1, 4, 4BIS, 6BIS, 9TER, 11, 19, 22, 25, 28, 58
15/10/2025;542;661;d 5;5;4;rue de la fraternite;6, 8, 10, 12
15/10/2025;542;661;d 5;2;2;rue monmory;12, 14
15/10/2025;542;661;d 5;7;2;rue de belfort;11, 25
15/10/2025;542;661;d 5;1;1;rue gilbert clerfayt;6
15/10/2025;542;661;d 5;12;9;rue des meuniers;3, 5, 7, 13, 15, 17BIS, 39, 51, RC55
15/10/2025;541;999;inst9;1;1;rue diderot;RC124
15/01/2026;546;657;d 1;3;3;rue de montreuil;13, 21TER, 56
15/01/2026;546;657;d 1;6;5;avenue aubert;14, 20, 22, 26, 28
15/01/2026;542;657;d 1;27;17;avenue de la republique;34, 36BIS, 42, 50, 57, 58, 63, 76, 83, 92, 95, 97, 101, 113, 123, 128, 133
15/01/2026;544;659;d 3;1;1;avenue du chateau;28
15/01/2026;546;659;d 3;3;2;rue d estienne d orves;16, 31, AO
15/01/2026;546;673;d 5;1;1;avenue lamartine;1
15/01/2026;544;673;d 5;20;14;rue robert giraudineau;2, 6, 8, 12, 14, 18, 20, 21, 22, 23, 28, 35, 45, 57
15/01/2026;544;673;d 5;7;4;rue saulpic;5, 6, 7, 12
15/01/2026;544;673;d 5;74;14;rue du midi;19, 20, 21, 22, 26, 27, 28, 29, 31, 32, 33, 35, 40, 40(22)
15/01/2026;544;673;d 5;59;17;avenue du chateau;1, 1BIS, 2, 3, 5, 8, 9, 12, 13, 14, 16, 17, 19, 22, 24, 25
07/03/2026;546;681;d 2;1;1;rue des laitieres;RC27BIS
07/03/2026;545;686;d 1;3;2;rue felix faure;5BIS, 10
07/03/2026;545;686;d 1;6;1;rue defrance;109
07/03/2026;545;686;d 1;1;1;rue des pommiers;1
07/03/2026;545;686;d 1;4;2;avenue paul deroulede;4, 3, 10
07/03/2026;545;686;d 1;1;1;allee jacques bainville;6
07/03/2026;545;687;d 2;7;3;rue jules massenet;34, 84, 36, 38
07/03/2026;545;687;d 2;38;17;rue defrance;1, RC4, 7, 24, 26, 29, 31, 38, 56, 58, 69, 68, 80, 84, 89, 111, 130
07/03/2026;545;687;d 2;3;3;villa georges serre;3
07/03/2026;541;687;d 2;3;2;rue de la jarry;78, 86
07/03/2026;545;688;d 3;3;2;rue des sabotiers;RC6, 7
07/03/2026;545;688;d 3;16;11;boulevard de la liberation;5, 8, 9, 12, 20, 24, 32, 36, 52, 54, 58
07/03/2026;545;688;d 3;1;1;place jean spire lemaitre;
07/03/2026;545;689;d 4;6;5;avenue des murs du parc;1, 13, 14, 23, 25
07/03/2026;545;689;d 4;1;1;place du marechal lyautey;1
07/03/2026;545;689;d 4;20;4;rue clement vienot;8, 8BIS, RC10, 13BIS
07/03/2026;545;689;d 4;2;1;rue adolphe alphand;1
07/03/2026;545;689;d 4;1;1;rue alexandre de la faluere;
07/03/2026;545;690;d 5;1;1;allee leonard marie lemayre;13
07/03/2026;545;690;d 5;1;1;allee augustin de luzy;2
07/03/2026;545;690;d 5;5;3;rue des pommiers;8, 9, 13
07/03/2026;545;690;d 5;2;2;rue de l industrie;6, 10
07/03/2026;545;690;d 5;4;3;rue de la bienfaisance;3BIS, 8, 33
07/03/2026;545;690;d 5;4;4;avenue paul deroulede;29, 35, 37, 39
07/03/2026;545;690;d 5;3;3;rue emile dequen;7, 26, 29
26/11/2025;542;683;d 4;7;5;avenue de la republique;1, 5, 9, 11, 18
26/11/2025;546;683;d 4;6;5;rue de l egalite;3, 4, 7, 10, 14
26/11/2025;546;683;d 4;6;4;rue de colmar;2, 3, 5, 6
26/11/2025;546;683;d 4;14;11;avenue aubert;42, 44, 60, 62, 64, 64BIS, 78, 82, 86, 94, 102
26/11/2025;546;684;d 5;3;2;rue eugenie gerard;5, 6
26/11/2025;546;684;d 5;6;5;rue villebois mareuil;3, 6, 14, 16, 19
26/11/2025;546;684;d 5;3;3;rue de montreuil;7, 26
26/11/2025;544;684;d 5;6;4;rue jean moulin;2TER, 6BIS, 8, 17
26/11/2025;546;684;d 5;4;3;rue d estienne d orves;4, 6, 8
26/11/2025;545;687;d 2;58;28;rue defrance;12, 16, 22, 26, 31, 34, 38, 46, 50, 53, 56, 57, 58, 65, 69, 73, 81, 85, 86, 89, 91, 100, 120, 128, 130, 137, 139, 147
29/11/2025;545;687;d 2;47;25;rue defrance;1, 14, 16, 18, 24, 26, 31, 34, 38, 46, 55, 56, 57, 58, 63, 65, 80, 89, 91, 92, 116, 120, 130, 140, 143
29/11/2025;546;681;d 2;3;2;rue victor basch;2BIS, 30
29/11/2025;542;683;d 4;3;2;avenue de la republique;11, 14, 29
29/11/2025;546;683;d 4;2;2;rue de l egalite;5, 7
29/11/2025;546;683;d 4;9;4;rue de colmar;3, 4, 5, 6
29/11/2025;546;683;d 4;15;10;avenue aubert;42, 44, 60, 62, 78, 80, 86, 92, 94
29/11/2025;546;684;d 5;4;4;rue eugenie gerard;6, 7, 11, 13
29/11/2025;546;684;d 5;4;4;rue villebois mareuil;1, 6, 8, 16
29/11/2025;546;684;d 5;3;3;rue de montreuil;7, 12, 26
29/11/2025;544;684;d 5;6;3;rue jean moulin;1, 2TER, 8
29/11/2025;546;684;d 5;1;1;rue d estienne d orves;6
12/03/2026;545;;d 1;;;allee paul barillon;4
12/03/2026;545;;d 5;;;allee louis -nicolas mabille;6
12/03/2026;545;;d 5;;;allee du docteur schweitzer;1
12/03/2026;541;;d 1;;;rue des trois territoires;43
12/03/2026;541;;d 1;;;rue des trois territoires;43
12/03/2026;547;;d 1;;;rue de fontenay;1, 18, 19, 26, 40, 52, 105, 107, 109, 127, 155, 157, 169, 173, 174, 189, 195, 67, 73, 82, 84, 85, 95, 110, 146, 111, 117, 129, 180, 181, 184, 190, 194, 224, 242, 16, 33, 35, 36, 46, 51, 53, 54, 56, 62, 74, 76, 78, 80, 87, 89, 91, 120, 122
12/03/2026;541;;d 1;;;rue diderot;93
12/03/2026;541;;d 1;;;rue diderot;13
12/03/2026;542;;d 1;;;rue des deux communes;2, 4, 10, 20, 2BIS, 6, 8, 22BIS, 2TER, 24
12/03/2026;546;;d 1;;;rue jean moulin;22
12/03/2026;547;;d 1;;;rue de fontenay;
12/03/2026;542;;d 1;;;avenue de la republique;
12/03/2026;542;;d 1;;;avenue de la republique;
12/03/2026;541;;d 1;;;Rue de Fontenay;79
12/03/2026;541;;d 1;;;Rue Joseph Gaillard;53
12/03/2026;541;;d 1;;;Rue Joseph Gaillard;15
12/03/2026;541;;d 1;;;Rue Diderot;34
